Msg#,Utterance #,Date,Time,User ID,Gender,Message,Reply to_ID,Category,Reply to_cell,Up&Down,act,politeness,meta
20,1,250127,,wyldmage,,"Even if you're still willing to play with them, it's not the same. ",AurelianoTampa,Reply,D7,7.0,Elaborate,,
21,1,250127,,wyldmage,,"And to make matters worse, you're taking stuff you earned without them, and using it to ""rush"" them through the game. You're not letting them enjoy it at their own pace. Hell, you didn't even admit that you were using ""I beat the game and farmed"" resources to summon bosses for them until they SAID SOMETHING about it.",AurelianoTampa,Reply,D7,7.0,Reject,-P,
22,1,250127,,wyldmage,,You've shattered trust with them.,AurelianoTampa,Reply,D7,7.0,Reject,-P,
23,1,250127,,wyldmage,,"They'll never know for sure whether you're secretly farming all night just so that you can ""hurry them up"" towards the endgame you've already done.",AurelianoTampa,Reply,D7,7.0,Claim,,
24,1,250127,,CallSign_Fjor,,"I get that, ",AurelianoTampa,Reply,D7,-32.0,Accept,,
25,1,250127,,CallSign_Fjor,,"but i wasn't like ""Yeah the next episode will be awesome."" I was still playing alongside them in downgraded gear.",AurelianoTampa,Reply,D7,-32.0,Repair,,
26,1,250127,,AurelianoTampa,,I'm not sure what kind of response you're looking for here. ,CallSign_Fjor,Reply,D20,14.0,Inquire,,
27,1,250127,,AurelianoTampa,,"Your friends told you why they don't want to play now - you already beat the game. They wanted to go through it as a group, together, as a new experience. ",CallSign_Fjor,Reply,D20,14.0,Inform,,
28,1,250127,,AurelianoTampa,,"You ruined that for them. This is more about how to manage dealing with your friends when you ignore what they want, rather than about game mechanics.",CallSign_Fjor,Reply,D20,14.0,Behave,-P,
29,1,250127,,AurelianoTampa,,"Maybe you're better off posting this in ""Am I the Asshole?"" or a similar sub?",CallSign_Fjor,Reply,D20,14.0,Direct,,
30,1,250127,,Chknbone,,Dude! You came here for answers. People are legit giving you the answer and you are NOT listening.,CallSign_Fjor,Reply,D20,7.0,Reject,-P,
31,1,250127,,Chknbone,,Which fits given what little we know of you.,CallSign_Fjor,Reply,D20,7.0,Claim,,
32,1,250127,,swizz1st,,"Your feeling, your expression, your joy is not the same like when you experience it for the first time. People can feel that if someone is faking or not even trying.",CallSign_Fjor,Reply,D20,2.0,Claim,,
33,1,250127,,swizz1st,,Also killing a boss for the first time with hard work is way different than steam roll it after you beat the game.,CallSign_Fjor,Reply,D20,2.0,Claim,,
34,1,250127,,Erthan-1,,"""This isn't the first time this has happened.""",CallSign_Fjor,Comment,D2,31.0,Inform,,
35,1,250127,,Erthan-1,,"And yet you refuse to learn from it and continue to do the behavior that alienates them. You are the problem, not them.",CallSign_Fjor,Comment,D2,31.0,Reject,-P,
36,1,250127,,Wooshio,,"OP wants to be the group know it all that everyone else looks up to and relies on, instead of just having fun with their friends. Super annoying for everyone else, and a massive ego boost thing for him. Sadly he likely isn't even self aware enough to realize that's the reason he does it.",Erthan-1,Reply,D27,2.0,Claim,-P,
37,1,250127,,sos123p9,,You took the coop out of the coop games.,CallSign_Fjor,Comment,D2,45.0,Reject,,
38,1,250127,,CallSign_Fjor,,By coming back to play with them? ,sos123p9,Reply,D30,-39.0,Reject,-P,
39,1,250127,,CallSign_Fjor,,It was still very much coop outside of my single player run.,sos123p9,Reply,D30,-39.0,Reject,,
40,1,250127,,sos123p9,,Ontop of your bonus items your brought from you playing by yourself. It would have been fine if you kept them separated but you didnt. Ppl play these games coop to experience them together snd you took the experience away,CallSign_Fjor,Reply,D31,15.0,Behave,,
41,1,250127,,sos123p9,, i woulda also lost interest when someone backdoored all the progress out of the game.,CallSign_Fjor,Reply,D31,15.0,Claim,,
42,1,250127,,Wooshio,,"No, because a lot of the appeal of coop for people is that you all learn, struggle and get surprised by the game together.  ",CallSign_Fjor,Reply,D31,8.0,Claim,,
43,1,250127,,Wooshio,,"When one player has already finished the game and knows it well, it's jut not the same experience because they end up constantly backseating. Some people care about this, others don't.",CallSign_Fjor,Reply,D31,8.0,Claim,,
44,1,250127,,Wooshio,,"But your friends obviously do, ",CallSign_Fjor,Reply,D31,8.0,Claim,,
45,1,250127,,Wooshio,,and it's not unreasonable.,CallSign_Fjor,Reply,D31,8.0,Claim,,
46,1,250127,,Deleted,,Comment deleted by user,CallSign_Fjor,Reply,D31,0.0,Manage,,
47,1,250127,,McSuede,,"You're still going on a journey together. It's just that now, instead of being with a fellow greenhorn, you're with a seasoned vet. Both have merits.",Deleted,Reply,D34,-9.0,Elaborate,,
48,1,250127,,Deleted,,Comment deleted by user,McSuede,Reply,D35,0.0,Inform,,
49,1,250127,,McSuede,,"To me, general consensus is not the same as being correct. The general consensus historically have been incorrect enough times for me to die on that hill.",Deleted,Reply,D36,-7.0,Claim,,
50,1,250127,,McSuede,,You are still experiencing that thing for the first time together and that can't be undersold.,Deleted,Reply,D36,-7.0,Claim,,
51,1,250127,,McSuede,,"I've traveled to places where friends have been before and having someone there to make suggestions and help guide us around only made the trip better. It's obviously different when the veteran railroads you into a particular experience. It's the reason why I never got into Diablo. I had a friend let me borrow their physical copy so that we could play together and they wouldn't even let me go through the story. Everything was about which end game build I wanted and which dungeons we needed to grind to get it. That is not the kind of experience that I'm defending. I'm defending being a level 150 on helldivers 2 with everything unlocked and dropping into a mission with low-level divers to show them the power of a fully operational battle station. I'm defending ""hey, let me show you something really cool."" Like most things, it comes down to your intentions and your paradigm.",Deleted,Reply,D36,-7.0,Claim,,
52,1,250127,,therealruin,,Lmao this is so dramatic.,McSuede,Reply,D37,0.0,React,-P,
53,1,250127,,therealruin,,You’re wrong. Historically wrong. I’ll die on that hill.,McSuede,Reply,D37,0.0,Reject,,
54,1,250127,,McSuede,,Be dead then.,therealruin,Reply,D42,0.0,Direct,-P,
55,1,250127,,wyldmage,,"Sure, they both have merits.",McSuede,Reply,D35,4.0,Accept,,
56,1,250127,,wyldmage,,"But in this case, the friends signed up to go on a journey with all greenhorns. And then they found out that one of the greenhorns is a seasoned veteran ""pandering"" to them and guiding them hurriedly through the experience.",McSuede,Reply,D35,4.0,Elaborate,,
57,1,250127,,McSuede,,"You know, I'll have to agree in this instance. ",wyldmage,Reply,D45,3.0,Accept,,
58,1,250127,,McSuede,,I caught myself defending the wider idea of playing with someone with experience and not thinking about this particular story. ,wyldmage,Reply,D45,3.0,Claim,,
59,1,250127,,McSuede,,"If you go into a game with the agreement that you are going to play together and match each other's pace, you're definitely in the wrong if you ""read ahead"".",wyldmage,Reply,D45,3.0,Behave,,
60,1,250127,,Mad_Moodin,,They had fun in exploring the game together and figuring stuff out together. They didn't want one person who always knows where to go and what to do.,CallSign_Fjor,Comment,D2,18.0,Claim,,
61,1,250127,,Mad_Moodin,,"Edit: For the same reason, we have banned looking stuff up on the wiki/youtube unless it is agreed on to look up.",CallSign_Fjor,Comment,D2,18.0,Inform,,
62,1,250127,,ClayRoks,,Your friends are better disciplined than mine.  ,Mad_Moodin,Reply,D47,1.0,Claim,,
63,1,250127,,ClayRoks,,"""Oh it was just one little thing.""",Mad_Moodin,Reply,D47,1.0,Reject,-P,
64,1,250127,,mistresskirakay,,"I think it’s just the fun of participating in the journey, TOGETHER. It’s fun to discover and play games as a team, rather than one ahead the rest. ",CallSign_Fjor,Comment,D2,23.0,Claim,,
65,1,250127,,mistresskirakay,,Or maybe you can stick to single player games?,CallSign_Fjor,Comment,D2,23.0,Direct,,
66,1,250127,,CallSign_Fjor,,"So, they could have still done their own journey? How does me having my own journey detract from their?",mistresskirakay,Reply,D51,-28.0,Reject,,
67,1,250127,,mistresskirakay,,"Most people do these games to build a friendship/relationship. You know, the bond while accomplishing these tasks and all.",CallSign_Fjor,Reply,D52,10.0,Claim,,
68,1,250127,,taco_bandito_96,,You already experienced the game,CallSign_Fjor,Reply,D52,7.0,Claim,,
69,1,250127,,Ehgadsman,,"bro, they probably will have their own journey, and you wont be invited",CallSign_Fjor,Reply,D52,7.0,Claim,-P,
70,1,250127,,Ehgadsman,,"not out of anger or whatever, but because you aren't a team player you are a lone wolf. its your choice and neither path is wrong but dont blame them for wanting a type of experience that you don’t",CallSign_Fjor,Reply,D52,7.0,Behave,,
71,1,250127,,luckydrzew,,It's a group thing.,CallSign_Fjor,Reply,D52,5.0,Claim,,
72,1,250127,,Chknbone,,"You are insufferable. Every post when someone tells you what YOU did WRONG, you come back with some bullshit excuse.",CallSign_Fjor,Reply,D52,6.0,Reject,-P,
73,1,250127,,zarroc-fodhr-vodhr,,"If I start a game with friends, especially a survival type game, I hate when people look stuff up or finish the game independently and continue to play in the group.",CallSign_Fjor,Comment,D2,22.0,Claim,,
74,1,250127,,zarroc-fodhr-vodhr,,A huge part of the experience in a survival game is learning how to do everything and exploring.,CallSign_Fjor,Comment,D2,22.0,Inform,,
75,1,250127,,CallSign_Fjor,,Seems selfish to me to expect everyone to play at the same pace?,zarroc-fodhr-vodhr,Reply,D60,-14.0,Claim,,
76,1,250127,,zarroc-fodhr-vodhr,,Not if you get the game to play as a group and exclusively play when the entire group is on.,CallSign_Fjor,Reply,D61,7.0,Reject,,
77,1,250127,,PyroDragn,,"You can't argue that it is selfish to expect everyone to play at the same pace and complain at the same time that they were playing too slow. This isn't even about playing 'at the same pace', but just about playing as a group. You could have tried helping everyone forward, but instead you rushed off and played by yourself.",CallSign_Fjor,Reply,D61,5.0,Reject,,
78,1,250127,,PyroDragn,,If you want to play without a group then do that.,CallSign_Fjor,Reply,D61,5.0,Direct,,
79,1,250127,,PyroDragn,,Apparently they want to play as a group and you care less about the group than you do about finishing the game.,CallSign_Fjor,Reply,D61,5.0,Claim,,
80,1,250127,,swizz1st,,There is a different between 1-10hour exp (survival game can be long) or someone that allrdy finished it lol,CallSign_Fjor,Reply,D61,1.0,Elaborate,,
81,1,250128,,whereballoonsgo,,Yes...the people who all want to have a fun experience together are the selfish ones...surely its not the one dude with no patience. ,CallSign_Fjor,Reply,D61,1.0,Reject,-P,
82,1,250128,,whereballoonsgo,,Your lack of self-awareness throughout this entire comment section is WILD.,CallSign_Fjor,Reply,D61,1.0,Reject,-P,
83,1,250127,,Sabetha1183,,A lot of people are about the journey rather than the results.,CallSign_Fjor,Comment,D2,8.0,Claim,,
84,1,250127,,Sabetha1183,,"Having somebody around who already knows everything can easily invalidate the discovery part of the journey, especially when part of the fun of it in games like Terraria is going through it with your friends.",CallSign_Fjor,Comment,D2,8.0,Claim,,
85,1,250127,,Capable_Possible_687,,"I had a friend that would advance then join me when I had time to play. They would spoil a lot of combat encounters, map discoveries, etc.",CallSign_Fjor,Comment,D2,7.0,Claim,,
86,1,250127,,Capable_Possible_687,, I don’t want to be spoonfed the game. I’d prefer to experience it all new and fresh.,CallSign_Fjor,Comment,D2,7.0,Desire,,
87,1,250127,,Monarchsix,,"This, not every game is fun to be carried in, even if it means getting some extra loot.",Capable_Possible_687,Reply,D69,1.0,Accept,,
88,1,250127,,Monarchsix,,"Certain games, sure. ",Capable_Possible_687,Reply,D69,1.0,Accept,,
89,1,250127,,Monarchsix,,I don’t mind being carried in games where carrying has no real impact on the endgame or what not. Part of playing a game is knowing you put in the work to make your character. Being carried sometimes ruins that,Capable_Possible_687,Reply,D69,1.0,Claim,,
90,1,250127,,NSC745,,People like the struggle. Removing the struggle removes a core gameplay loop for them. Some people don’t like taking “handouts”.,CallSign_Fjor,Comment,D2,6.0,Claim,,
91,1,250127,,NSC745,,"Then there is the whole, you went on ahead without them and experienced the game without the group. ",CallSign_Fjor,Comment,D2,6.0,Behave,,
92,1,250127,,NSC745,,"If you were doing the game with a group of friends, they prob felt betrayed. ",CallSign_Fjor,Comment,D2,6.0,Claim,,
93,1,250127,,NSC745,,"Don’t do that anymore, ",CallSign_Fjor,Comment,D2,6.0,Direct,,
94,1,250127,,NSC745,,and it sounds like you’ve done it more than once.,CallSign_Fjor,Comment,D2,6.0,Claim,,
95,1,250127,,NSC745,,"I know having a new game is super exciting and you wanna binge,",CallSign_Fjor,Comment,D2,6.0,Claim,,
96,1,250127,,NSC745,,but try not to go super far ahead of your friends. Play another game until they get back on.,CallSign_Fjor,Comment,D2,6.0,Direct,,
97,1,250127,,NSC745,,Good luck gamer.,CallSign_Fjor,Comment,D2,6.0,Congratulate,+P,
98,1,250127,,wyldmage,,I think the best correlation is to substitute college.,NSC745,Reply,D73,1.0,Claim,,
99,1,250127,,wyldmage,,"You and your friends finish high school. You all rent a house together near campus, and go to the same college. But your friends get part-time jobs to pay for school, because their parents aren't rich. Yours are. Your friends each take 12 credits/term. They won't graduate as fast, but that's what they can afford. You take 18 credits/term, PLUS you take some online courses because you've never been much of a sleeper (averaging 5-6 hours/night). 3 years later, you graduate. Your friends are still toiling away at school, and you're living with them. Over breakfast, you offer one friend help with his math. ""It's super easy, I mean, I already finished college."" Another day you spend all day with your girlfriend over, and mention later to your friends that you think she's the one, and ask for advice on marriage. You beat the game before them. You're not at college with them, EVEN if you sign up for some classes ""just for the hell of it"" and are still living with them. Your perspective on the experience is different from theirs. They've got 2-3 years of school left, and you're only ""hanging around"". You don't belong anymore. ""But I want to hang out with you guys"" you say, and their only reaction is to point out that you didn't have to graduate so soon, that you could have spent more time *with them* instead of focusing so hard on your studies. Or you could have gotten a part time job too, and chipped in a bit more on rent since you were rich, so they could work a bit less each.",NSC745,Reply,D73,1.0,Claim,,
100,1,250127,,wyldmage,,"But no, you chose yourself, not your friends. ",NSC745,Reply,D73,1.0,Reject,-P,
101,1,250127,,wyldmage,,"And that's fair, ",NSC745,Reply,D73,1.0,Accept,+P,
102,1,250127,,wyldmage,,but you aren't part of the college group anymore.,NSC745,Reply,D73,1.0,Reject,,
103,1,250127,,Lycantail,,Part of the fun is learning the game together.,CallSign_Fjor,Comment,D2,4.0,Claim,,
104,1,250127,,Lycantail,,"And now you already know everything, all the tactics, all the things to do.",CallSign_Fjor,Comment,D2,4.0,Claim,,
105,1,250127,,CataphractBunny,,"""Their stance was that I invalidated them.""",CallSign_Fjor,Comment,D2,2.0,Claim,,
106,1,250127,,CataphractBunny,,"Out of curiosity, are you guys American by any chance?",CallSign_Fjor,Comment,D2,2.0,Inquire,,
107,1,250127,,Deleted,,"It's a coop game and they wanted to actually experience the game, not have you in end game items soloing everything. ",CallSign_Fjor,Comment,D2,4.0,Inform,,
108,1,250127,,Deleted,,I had a similar issue with Valheim. 2 friends asked me to play then insisted on their already established save with something like 4/7 bosses already killed which made me feel like I was missing most of the game.,CallSign_Fjor,Comment,D2,4.0,Claim,,
109,1,250127,,TerrorAlpaca,,Because its not fun to explore when another one has already explored it.,CallSign_Fjor,Comment,D2,2.0,Claim,,
110,1,250127,,TerrorAlpaca,,"i played Enshrouded with two colleagues. I aimed towards battle mage, my friend paladin and the other one scout/rogue. i was absolutely useless in the beginning and while we farmed and built, the paladin just snuck off and explored, battled enemies and ....grabbed treasures. Sure we got points as well, and he shared the treasures but we/I never got to explore the areas with him. Only later on when i had more useful spells and a better glider i was ahead of him and managed to explore new areas as well.",CallSign_Fjor,Comment,D2,2.0,Inform,,
111,1,250127,,TerrorAlpaca,,its just not fun to follow in anothers footsteps. its not working together.,CallSign_Fjor,Comment,D2,2.0,Claim,,
112,1,250127,,TerrorAlpaca,,"Also the fact that you didn't wait for them and played everything alone, kinda sends the message that you don't really want to play with them.",CallSign_Fjor,Comment,D2,2.0,Reject,-P,
113,1,250127,,henaradwenwolfhearth,,I disagree on that last point. ,TerrorAlpaca,Reply,D87,2.0,Reject,,
114,1,250127,,henaradwenwolfhearth,,To me it just means he enjoyed the game and wanted more,TerrorAlpaca,Reply,D87,2.0,Claim,,
115,1,250127,,CircaCitadel,,A huge part of gaming multiplayer is the shared experience. Especially in co-op games. If not everyone is doing things together at the same pace some people may feel like the shared experience is lessened by a lot.,CallSign_Fjor,Comment,D2,1.0,Elaborate,,
116,1,250127,,CircaCitadel,,Having it be a deal breaker is childish though. Mild disappointment is understandable but you still get the shared experience in playing together. Seems a bit extreme to abandon a game based on someone else’s experience.,CallSign_Fjor,Comment,D2,1.0,Claim,,
117,1,250127,,Reasonable_End704,,"Not everyone wants to play the game efficiently or take shortcuts. Some people prefer to go through the struggles and challenges on their own, instead of being carried by stronger or more progressed players. They value the process and the sense of experience in the game. ",CallSign_Fjor,Comment,D2,1.0,Elaborate,,
118,1,250127,,Reasonable_End704,,"So, what you did might have been seen as meddling, and for those who want to play the game properly, it could have been bothersome.",CallSign_Fjor,Comment,D2,1.0,Elaborate,,
119,1,250127,,Deleted,,"Exploration is a huge part of the fun, and doing that together. You made it about the destination for them. Not the journey. ",CallSign_Fjor,Comment,D2,1.0,Claim,,
120,1,250127,,Deleted,,Now they are just playing catch up to your knowledge level.,CallSign_Fjor,Comment,D2,1.0,Claim,,
121,1,250127,,Deleted,,Survival games should be played together for max fun in my mind.,CallSign_Fjor,Comment,D2,1.0,Claim,,
122,1,250127,,Lack-of-Luck,,"Like someone else said, you took the co-op out of co-op. You were doing other people's objectives for them rather than letting them actually play and enjoy the game.",CallSign_Fjor,Comment,D2,1.0,Reject,-P,
123,1,250127,,PathOwn8267,,"You took what was supposed to be a coop adventure and tainted it not just by beating the game solo, but by bringing in summons/items from your other world. ",CallSign_Fjor,Comment,D2,1.0,Reject,,
124,1,250127,,PathOwn8267,,I agree with your friend(s) 100%. ,CallSign_Fjor,Comment,D2,1.0,Accept,,
125,1,250127,,PathOwn8267,,"Next time just play another game while they are away. Or at the very least, play the same game on uber difficult hardcore mode WITHOUT transferring any items between worlds. ",CallSign_Fjor,Comment,D2,1.0,Direct,,
126,1,250127,,PathOwn8267,,That way you wont be ahead.,CallSign_Fjor,Comment,D2,1.0,Elaborate,,
127,1,250127,,HallowDance,,"Borrowing terminology from board-games, in a co-op setting a player with more experience almost inevitably becomes an ""alpha gamer"", that is, somebody who kind-of-sort-of plays the game for you.",CallSign_Fjor,Comment,D2,1.0,Claim,,
128,1,250127,,HallowDance,,"Now instead of exploring and figuring things out together, one person has already done that and steers the whole group in the direction of progression. ",CallSign_Fjor,Comment,D2,1.0,Claim,,
129,1,250127,,HallowDance,,"And since that person more or less now knows the best route to the end goal it makes everyone else feel like they're in the back seat. It makes it doubly frustrating that when the group discusses what needs to be done next, they know that the alpha-gamer is right, so anything else they might suggest is going to be suboptimal.",CallSign_Fjor,Comment,D2,1.0,Claim,,
130,1,250127,,Repulsive_Cup2796,,Because you’re killing the experience of having a new experience with friends. ,CallSign_Fjor,Comment,D2,1.0,Inform,,
131,1,250127,,Repulsive_Cup2796,,They want to spend time with you and enjoy the game at a similar rate,CallSign_Fjor,Comment,D2,1.0,Claim,,
132,1,250127,,crazyrich,,I’ll piggyback on some others here based on your answers,CallSign_Fjor,Comment,D2,1.0,Accept,,
133,1,250127,,crazyrich,,"The issue isn’t that you have good loot - you acknowledged that you restarted. The issue is you already know most of the things they would have to organically figure out - recipes, strategies, next steps.",CallSign_Fjor,Comment,D2,1.0,Repair,,
134,1,250127,,crazyrich,,"Beyond asking them, I’d assume it’s because they don’t want you letting them know to beeline for a specific resource to build a thing, etc",CallSign_Fjor,Comment,D2,1.0,Desire,,
135,1,250127,,nofreelaunch,,"I have a friend who does this and we all hate it. “Don’t bother with that quest it’s boring” “let me just give you resources this will take forever” “that sword is dumb, don’t bother with it trust me” I rarely play coop games with him these days. He can’t help but do everything himself the week you start playing.",CallSign_Fjor,Comment,D2,1.0,Claim,,
136,1,250127,,Achack,,Idk how that game works but part of the fun for a lot of people is discovery. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
137,1,250127,,Achack,,With someone like you in the group it becomes more of a walkthrough.,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
138,1,250127,,Achack,,In that Pax game if all you did was basic grinding then I wouldn't understand the issue other than the fact that they didn't get to play the game as intended.,CallSign_Fjor,Comment,D2,1.0,Claim,,
139,1,250127,,PyroDragn,,Huge generalizations coming; your mileage will vary depending on the specific members of your group.,CallSign_Fjor,Comment,D2,1.0,Claim,,
140,1,250127,,PyroDragn,,The point of a cooperative game is to work together to discover what to do. Especially in a game like Terraria. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
141,1,250127,,PyroDragn,,Where do we go for the next boss? what does it drop? what's the best way to beat them?,CallSign_Fjor,Comment,D2,1.0,Inquire,,
142,1,250127,,PyroDragn,,"You went through and beat the game once, and even if you try your best not to power level them, it means you removed a lot of the discovery of the game.",CallSign_Fjor,Comment,D2,1.0,Claim,,
143,1,250127,,PyroDragn,,"If people wanted to play with a walkthrough, they could look up a walkthrough.",CallSign_Fjor,Comment,D2,1.0,Claim,,
144,1,250127,,PyroDragn,,It sounds like your friends are really interested in playing the game and figuring things out. You are more concerned with reaching the end. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
145,1,250127,,PyroDragn,,"Plus, if you bring extra materials and summons and skills, you're not just removing discovery but also reducing risk. ",CallSign_Fjor,Comment,D2,1.0,Claim,,
146,1,250127,,PyroDragn,,Not everyone wants to be carried to endgame.,CallSign_Fjor,Comment,D2,1.0,Claim,,
147,1,250127,,Few-Requirements,,Because it was a group activity you were all discovering and you took all the sense of discovery out because you wanted to jerk yourself off.,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
148,1,250127,,Few-Requirements,,"Like someone else said, you took the co-op out of co-op. You were doing other people's objectives for them rather than letting them actually play and enjoy the game.",CallSign_Fjor,Comment,D2,1.0,Reject,-P,
149,1,250127,,Few-Requirements,,"""I used none of my new gear and only used what would be available""",CallSign_Fjor,Comment,D2,1.0,Inform,,
150,1,250127,,Few-Requirements,,You're a bullshitter. // ,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
151,1,250127,,Few-Requirements,,"You brought back summons, and presumably by ""only used what would be available"", you maxed out hearts and mana too.",CallSign_Fjor,Comment,D2,1.0,Reject,,
152,1,250127,,Few-Requirements,,"""This isn't the first time this has happened.""",CallSign_Fjor,Comment,D2,1.0,Claim,,
153,1,250127,,Few-Requirements,,Then you are the problem.,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
154,1,250127,,Few-Requirements,,"When you play games with friends. You're playing for the purpose of experiencing the game with friends. They don't care that you have extra items, or an encyclopedic game knowledge. They want to experience it together.",CallSign_Fjor,Comment,D2,1.0,Elaborate,,
155,1,250127,,Few-Requirements,,"If you don't see it that way, good for you. ",CallSign_Fjor,Comment,D2,1.0,Reject,-P,
156,1,250127,,Few-Requirements,,Don't be surprised when friends play games without you.,CallSign_Fjor,Comment,D2,1.0,Direct,-P,
157,1,250127,,BobyNBA,,"I had a friend who I bought game for so we could play it together with another friend. He ended playing it alone and finished it without waiting for us. The game was Remnant 2, known for its great co op and he called it a ""fake co op game”. He’s not my friend anymore lol.",CallSign_Fjor,Comment,D2,1.0,Claim,,
158,1,250127,,SantyagoMP,,TLDR: ,CallSign_Fjor,Comment,D2,1.0,Manage,,
159,1,250127,,SantyagoMP,,Some players value the shared progression and discovery more than efficiency or pace. ,CallSign_Fjor,Comment,D2,1.0,Inform,,
160,1,250127,,SantyagoMP,,So when you progress solo their contributions may feel meaningless. ,CallSign_Fjor,Comment,D2,1.0,Elaborate,,
161,1,250127,,SantyagoMP,,"Rarely someone wants to feel like they are following someone's lead, its more fun when everyone is an active contributor.",CallSign_Fjor,Comment,D2,1.0,Claim,,
162,1,250127,,SantyagoMP,,That's actually something that happens all the time and it's just because you have different playstyles. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
163,1,250127,,SantyagoMP,,I can relate because i am like your group.,CallSign_Fjor,Comment,D2,1.0,Claim,,
164,1,250127,,SantyagoMP,,While some put more value in shared progression maybe you enjoy exploring the game on your own and help the group with your own progress.,CallSign_Fjor,Comment,D2,1.0,Claim,,
165,1,250127,,SantyagoMP,,"For some people the enjoyment of discovery and acomplishment feels less rewarding if someone in the group is like ""been there, done that"" even if they try not to show it.",CallSign_Fjor,Comment,D2,1.0,Claim,,
166,1,250127,,SantyagoMP,,"You didn't do anything wrong, ",CallSign_Fjor,Comment,D2,1.0,Accept,,
167,1,250127,,SantyagoMP,,but they may take it as you unintentionally overshadowing their contributions to the group.,CallSign_Fjor,Comment,D2,1.0,Claim,,
168,1,250127,,SantyagoMP,,The best thing to do is to agree beforehand if solo progression is ok. ,CallSign_Fjor,Comment,D2,1.0,Direct,,
169,1,250127,,SantyagoMP,,That way everyone knows what to expect.,CallSign_Fjor,Comment,D2,1.0,Elaborate,,
